protein_id	ligand_id
A0A2H1IVP2	CHEBI_17568
A0A0R2KHZ0	CHEBI_17568
R7Y2F7	CHEBI_17568
A0A653S8X9	CHEBI_17568
A0A916T420	CHEBI_17568
A0A0S8KS33	CHEBI_17568
A0A1D7W0N7	CHEBI_17568
A0A6J4M004	CHEBI_17568
A0A2H1IKV4	CHEBI_17568
A0A543BCR3	CHEBI_17568
A0A830GVA3	CHEBI_17568
A0A0F0KK16	CHEBI_17568
A0A7X7RU45	CHEBI_17568
A0A946RIN7	CHEBI_17568
A0A031I5R7	CHEBI_17568
A0A2H1IFU2	CHEBI_17568
A0A2H1L2R1	CHEBI_17568
A0A117SW07	CHEBI_17568
I7IY78	CHEBI_17568
A0A1C6D3C9	CHEBI_17568
F3BGA3	CHEBI_17568
A0A2W6DL54	CHEBI_17568
A0A938FEL4	CHEBI_17568
D0WGA9	CHEBI_17568
A0A3D5Q5J1	CHEBI_17568
A0A7W5XPI9	CHEBI_17568
A0A6N2S4G3	CHEBI_17568
A0A6J4KIA7	CHEBI_17568
A0A8F2JAN2	CHEBI_17568
I7JRV1	CHEBI_17568
A0A8C0PEU2	CHEBI_61402
A0A5F4WMD1	CHEBI_61402
S9WSP5	CHEBI_61402
A0A6J1VRY3	CHEBI_61402
A0A8B9V1F7	CHEBI_61402
C3YTT3	CHEBI_61402
A0A8C0RT59	CHEBI_61402
A0A8C4KQE0	CHEBI_61402
A0A8C0PCW5	CHEBI_61402
A0A8C3LNL0	CHEBI_61402
G5B4T5	CHEBI_61402
A0A8C0B4H2	CHEBI_61402
A0A8C3HJA4	CHEBI_61402
A0A8D0U8W3	CHEBI_61402
A0A8I6ABW8	CHEBI_61402
A0A4X1VB98	CHEBI_61402
A0A2U4CLF3	CHEBI_61402
A0A8C9U3E8	CHEBI_61402
A0A6P6EQM4	CHEBI_61402
A0A8C0JSB2	CHEBI_61402
A0A0J7KV23	CHEBI_61402
A0A4X1V5I7	CHEBI_61402
A0A7J8HH20	CHEBI_61402
A0A2J8RZT0	CHEBI_61402
F7CG88	CHEBI_61402
A0A8D3CFU8	CHEBI_61402
A0A8D0M1N1	CHEBI_61402
A0A7J7FA33	CHEBI_61402
A0A452I4A5	CHEBI_61402
H2Z6T7	CHEBI_61402
A0A8S2A7X6	CHEBI_61721
A0A2G5F374	CHEBI_61721
A0A6L2LJY7	CHEBI_61721
N0GUS6	CHEBI_61721
N0GU21	CHEBI_61721
N0GUK1	CHEBI_61721
N0GUS2	CHEBI_61721
A0A847LUQ8	CHEBI_57457
A0A2V6BMU6	CHEBI_57457
A0A1G3L5Z2	CHEBI_57457
A0A0U1NKE2	CHEBI_57457
A0A7X9IRW1	CHEBI_57457
A0A2D8QTQ1	CHEBI_57457
A0A314VV64	CHEBI_57457
A0A2E3RJI1	CHEBI_57457
A0A291ISH4	CHEBI_57457
A0A1Z8LCS5	CHEBI_57457
A0A934IF14	CHEBI_57457
A0A6I7PX14	CHEBI_57457
A0A926MC16	CHEBI_57457
A0A2D9J5X9	CHEBI_57457
A0A2E5U2E8	CHEBI_57457
A0A3R9YDA5	CHEBI_57457
A0A356MJ16	CHEBI_57457
A0A533R813	CHEBI_57457
A0A3P5WJM2	CHEBI_57457
A0A7C5RX73	CHEBI_57457
A0A928A995	CHEBI_57457
A0A345ZBZ9	CHEBI_57457
A0A1Z8UXC2	CHEBI_57457
A0A9D9DEV8	CHEBI_57457
A0A2D9YGP3	CHEBI_57457
A0A2E4D5J5	CHEBI_57457
A0A9D9Y7X8	CHEBI_57457
A0A254QXZ4	CHEBI_57457
A0A847Z458	CHEBI_57457
A0A357JCT0	CHEBI_57457
W8TET3	CHEBI_64716
A0A847NKA4	CHEBI_64716
A0A3M1R588	CHEBI_64716
A0A7V7AGQ9	CHEBI_64716
A0A845LSI0	CHEBI_64716
A0A975AFN7	CHEBI_64716
A0A6I0EW70	CHEBI_64716
B8CWS1	CHEBI_64716
A0A1M6DLZ3	CHEBI_64716
A0A0P8ZE44	CHEBI_64716
A0A929SBJ9	CHEBI_64716
A0A7U6KFJ2	CHEBI_64716
A0A1M5U2P8	CHEBI_64716
A0A7X7ANU7	CHEBI_64716
A0A1M5UHZ6	CHEBI_64716
A0A101HBG9	CHEBI_64716
A0A942Z806	CHEBI_64716
A0A8T4JP34	CHEBI_64716
A0A0M2U3Q9	CHEBI_64716
A0A353W2I2	CHEBI_64716
A0A970LH40	CHEBI_64716
A0A8T5XHT5	CHEBI_64716
A0A8T5XV57	CHEBI_64716
F6DJV9	CHEBI_64716
A0A239CXP0	CHEBI_64716
A0A949L5H9	CHEBI_64716
A0A841KTV4	CHEBI_64716
A0A6N7XV58	CHEBI_64716
A0A096CVL1	CHEBI_64716
A0A4R2TVI6	CHEBI_64716
